LHRS,CORRESPONDING LAT,corr long
47663,43.70945573,-79.55236669
47672,43.66875012,-79.5912044
47682,43.62070863,-79.70797614
47656,43.72272689,-79.48129194
47660,43.71646445,-79.51939084
47667,43.69186502,-79.56944871
46810,43.71650231,-79.51829162
47661,43.71337819,-79.53617557
47654,43.72806061,-79.45788283
47685,43.6056634,-79.74615538
47635,43.76765705,-79.33800075
47700,43.52813368,-79.90527179
47690,43.57115251,-79.829536
47598,43.86631248,-78.93637577
47689,43.58831569,-79.81039622
47640,43.76634153,-79.36279615
47695,43.54197496,-79.86295079
47643,43.75360649,-79.4083719
47723,43.44788935,-80.17680765
47647,43.7425561,-79.42310848
47680,43.62995619,-79.68443567
47715,43.4732702,-80.03720559
47650,43.736138,-79.43369538
47730,43.41412833,-80.32791119
47642,43.76332541,-79.38701346
17800,49.7634804,-84.5147032
10137,43.47283645,-79.67316434
47652,43.73001661,-79.44880531
47596,43.8693257,-78.90514444
49065,43.6858757,-79.71149006
47631,43.77046606,-79.30410332
47710,43.49122632,-79.98800588
47594,43.87656617,-78.87603713
47688,43.60039878,-79.78824761
50280,43.65425847,-79.5672989
47675,43.63930835,-79.66049232
17811,49.76063372,-85.33297221
47629,43.77499911,-79.28460261
47626,43.78560169,-79.23526428
47673,43.64833731,-79.63763901
10109,43.29795992,#N/A
50219,43.62868826,-79.5562869
47628,43.77934902,-79.26476622
47604,43.84927038,-79.04049525
10123,43.35190843,-79.80383688
47750,43.33191173,-80.44478847
48315,43.25541,-79.9071735
21470,47.97103073,-84.78442604
10113,43.31511575,-79.80730914
47740,43.40194474,-80.37913205
10133,43.44636967,-79.70008831
46830,43.92055688,-79.5660099
47420,44.28544549,-76.57002848
47612,43.81665129,-79.11472764
21910,49.05090287,-90.4812919
